平成28年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,288,36,24,35,27,15,15,27,16,15,23,23,32
,男　Ｍ．,165,17,8,22,18,11,8,14,8,7,16,11,25
,女　Ｆ．,123,19,16,13,9,4,7,13,8,8,7,12,7
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,2665,223,225,192,201,276,308,189,208,197,177,221,248
,男　Ｍ．,1508,125,126,102,115,168,184,103,114,112,91,122,146
,女　Ｆ．,1157,98,99,90,86,108,124,86,94,85,86,99,102
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,7546,703,592,597,589,541,537,625,659,655,627,683,738
,男　Ｍ．,3688,343,294,300,288,273,253,311,304,306,307,342,367
,女　Ｆ．,3858,360,298,297,301,268,284,314,355,349,320,341,371
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11972,1021,1003,1036,931,913,870,901,911,1001,1106,1120,1159
,男　Ｍ．,3747,333,337,316,324,292,256,284,258,325,316,349,357
,女　Ｆ．,8225,688,666,720,607,621,614,617,653,676,790,771,802
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,10896,968,894,984,900,819,702,827,926,877,976,946,1077
,男　Ｍ．,5835,544,448,545,488,425,366,429,501,482,538,503,566
,女　Ｆ．,5061,424,446,439,412,394,336,398,425,395,438,443,511
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,7,-,-,-,-,-,-,2,-,2,-,-,3
,男　Ｍ．,4,-,-,-,-,-,-,1,-,1,-,-,2
,女　Ｆ．,3,-,-,-,-,-,-,1,-,1,-,-,1
08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,15,1,1,1,1,1,1,1,-,2,3,1,2
,男　Ｍ．,6,-,1,-,-,-,1,1,-,1,1,-,1
,女　Ｆ．,9,1,-,1,1,1,-,-,-,1,2,1,1
09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,339958,35495,31930,31503,27318,25839,23497,24018,25054,23776,27211,30151,34166
,男　Ｍ．,161628,17239,15292,14981,12941,12186,11082,11375,11835,11048,12860,14362,16427
,女　Ｆ．,178330,18256,16638,16522,14377,13653,12415,12643,13219,12728,14351,15789,17739
09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6843,726,638,638,553,500,480,471,506,466,529,627,709
,男　Ｍ．,2720,286,261,246,217,201,198,168,198,187,194,251,313
,女　Ｆ．,4123,440,377,392,336,299,282,303,308,279,335,376,396
09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,総数,3099,327,276,300,276,232,216,212,217,205,220,294,324
,男　Ｍ．,1142,127,105,113,105,72,82,67,80,76,71,112,132
,女　Ｆ．,1957,200,171,187,171,160,134,145,137,129,149,182,192
09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,3744,399,362,338,277,268,264,259,289,261,309,333,385
,男　Ｍ．,1578,159,156,133,112,129,116,101,118,111,123,139,181
,女　Ｆ．,2166,240,206,205,165,139,148,158,171,150,186,194,204
09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,総数,198070,21449,19094,18552,15815,14862,13571,13721,14381,13362,15351,17617,20295
,男　Ｍ．,93453,10376,9147,8733,7419,6908,6311,6445,6692,6096,7250,8366,9710
,女　Ｆ．,104617,11073,9947,9819,8396,7954,7260,7276,7689,7266,8101,9251,10585
09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,2266,208,244,189,205,180,178,158,174,160,175,202,193
,男　Ｍ．,741,70,71,68,63,53,59,58,50,60,56,68,65
,女　Ｆ．,1525,138,173,121,142,127,119,100,124,100,119,134,128
09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,35937,4118,3690,3391,2844,2535,2375,2353,2586,2381,2721,3104,3839
,男　Ｍ．,20476,2347,2093,1867,1614,1465,1349,1303,1483,1370,1616,1807,2162
,女　Ｆ．,15461,1771,1597,1524,1230,1070,1026,1050,1103,1011,1105,1297,1677
09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,34547,4091,3442,3365,2632,2539,2266,2336,2463,2139,2564,3077,3633
,男　Ｍ．,19967,2356,1957,1908,1533,1469,1329,1362,1443,1239,1503,1774,2094
,女　Ｆ．,14580,1735,1485,1457,1099,1070,937,974,1020,900,1061,1303,1539
09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,総数,11048,1075,1027,990,936,831,795,796,807,798,865,1020,1108
,男　Ｍ．,3496,351,340,346,295,256,247,241,240,258,278,295,349
,女　Ｆ．,7552,724,687,644,641,575,548,555,567,540,587,725,759
09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3802,347,348,296,336,303,285,310,313,281,300,315,368
,男　Ｍ．,2150,202,199,183,197,165,153,167,177,141,175,178,213
,女　Ｆ．,1652,145,149,113,139,138,132,143,136,140,125,137,155
