令和５年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,2884,364,262,276,219,190,175,226,254,175,218,233,292
09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,総数,231148,26775,21483,20298,18216,17520,15329,16820,18006,16653,18009,19271,22768
,男　Ｍ．,113133,13484,10653,9849,8735,8496,7415,8261,8895,8056,8618,9362,11309
,女　Ｆ．,118015,13291,10830,10449,9481,9024,7914,8559,9111,8597,9391,9909,11459
09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,1894,196,152,174,164,168,140,158,141,147,139,160,155
,男　Ｍ．,647,68,50,57,60,44,47,53,46,61,54,54,53
,女　Ｆ．,1247,128,102,117,104,124,93,105,95,86,85,106,102
09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,31003,3771,2970,2730,2451,2260,1994,2152,2392,2153,2418,2606,3106
,男　Ｍ．,18359,2264,1761,1565,1445,1340,1178,1299,1448,1310,1426,1523,1800
,女　Ｆ．,12644,1507,1209,1165,1006,920,816,853,944,843,992,1083,1306
09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,40283,5180,3849,3406,2970,2851,2514,3008,3214,2779,2985,3353,4174
,男　Ｍ．,24803,3138,2352,2092,1777,1805,1606,1845,2039,1714,1843,2051,2541
,女　Ｆ．,15480,2042,1497,1314,1193,1046,908,1163,1175,1065,1142,1302,1633
09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,総数,11909,1241,1061,1099,1027,986,862,866,915,826,945,979,1102
,男　Ｍ．,3890,403,352,361,313,321,305,285,308,270,301,313,358
,女　Ｆ．,8019,838,709,738,714,665,557,581,607,556,644,666,744
09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3409,349,301,280,277,275,284,283,270,286,261,258,285
,男　Ｍ．,1921,203,162,175,161,150,166,153,159,151,146,134,161
,女　Ｆ．,1488,146,139,105,116,125,118,130,111,135,115,124,124
09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,総数,36027,4279,3463,3179,2774,2700,2201,2604,2714,2522,2770,3077,3744
,男　Ｍ．,18341,2232,1782,1659,1426,1367,1083,1330,1340,1256,1334,1537,1995
,女　Ｆ．,17686,2047,1681,1520,1348,1333,1118,1274,1374,1266,1436,1540,1749
09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,99233,10876,8995,8835,8009,7724,6820,7245,7757,7398,7912,8209,9453
,男　Ｍ．,41058,4671,3807,3607,3248,3167,2755,3003,3203,2989,3200,3400,4008
,女　Ｆ．,58175,6205,5188,5228,4761,4557,4065,4242,4554,4409,4712,4809,5445
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,7390,883,692,595,544,556,514,504,603,542,579,629,749
,男　Ｍ．,4114,505,387,333,305,302,275,293,352,305,314,350,393
,女　Ｆ．,3276,378,305,262,239,254,239,211,251,237,265,279,356
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,104533,11037,9254,9126,8422,8183,7449,7737,8238,7858,8750,8759,9720
,男　Ｍ．,51684,5516,4554,4500,4176,3977,3624,3729,4129,3854,4401,4313,4911
,女　Ｆ．,52849,5521,4700,4626,4246,4206,3825,4008,4109,4004,4349,4446,4809
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11172,1138,999,949,879,895,803,777,885,849,978,978,1042
,男　Ｍ．,4139,435,389,368,329,326,284,283,317,284,363,357,404
,女　Ｆ．,7033,703,610,581,550,569,519,494,568,565,615,621,638
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,32713,3556,2893,2882,2767,2585,2281,2326,2470,2355,2692,2742,3164
,男　Ｍ．,17895,1937,1564,1541,1532,1376,1242,1240,1382,1285,1523,1501,1772
,女　Ｆ．,14818,1619,1329,1341,1235,1209,1039,1086,1088,1070,1169,1241,1392
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,57575,5979,5076,5020,4542,4499,4164,4439,4623,4403,4841,4773,5216
,男　Ｍ．,28158,2961,2468,2467,2201,2192,2005,2116,2292,2146,2403,2322,2585
,女　Ｆ．,29417,3018,2608,2553,2341,2307,2159,2323,2331,2257,2438,2451,2631
