令和６年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6,-,2,-,-,1,1,-,-,-,-,2,-
,男　Ｍ．,3,-,2,-,-,-,1,-,-,-,-,-,-
,女　Ｆ．,3,-,-,-,-,1,-,-,-,-,-,2,-
08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,22,-,4,2,1,1,1,1,3,3,2,2,2
,男　Ｍ．,14,-,2,1,1,-,1,1,2,2,1,1,2
,女　Ｆ．,8,-,2,1,-,1,-,-,1,1,1,1,-
09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,370980,39261,34076,35189,29113,28199,25805,28165,28304,26166,27865,30351,38486
,男　Ｍ．,182427,19753,16780,17352,14119,13529,12446,13821,13988,12725,13472,14870,19572
,女　Ｆ．,188553,19508,17296,17837,14994,14670,13359,14344,14316,13441,14393,15481,18914
09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11799,1381,1088,1117,873,833,794,926,972,815,826,897,1277
,男　Ｍ．,5204,596,491,463,379,373,347,439,447,357,356,377,579
,女　Ｆ．,6595,785,597,654,494,460,447,487,525,458,470,520,698
09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,総数,5986,737,568,598,460,443,368,447,456,412,402,462,633
,男　Ｍ．,2509,318,246,236,192,176,146,187,199,165,164,196,284
,女　Ｆ．,3477,419,322,362,268,267,222,260,257,247,238,266,349
09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,5813,644,520,519,413,390,426,479,516,403,424,435,644
,男　Ｍ．,2695,278,245,227,187,197,201,252,248,192,192,181,295
,女　Ｆ．,3118,366,275,292,226,193,225,227,268,211,232,254,349
09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,総数,226388,24469,21230,21670,17745,16909,15478,17356,17172,15588,16471,18165,24135
,男　Ｍ．,111425,12412,10489,10742,8543,8091,7441,8467,8448,7507,7924,8924,12437
,女　Ｆ．,114963,12057,10741,10928,9202,8818,8037,8889,8724,8081,8547,9241,11698
09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,1893,176,187,191,155,161,145,150,146,142,119,139,182
,男　Ｍ．,667,66,58,70,52,58,49,59,47,58,34,50,66
,女　Ｆ．,1226,110,129,121,103,103,96,91,99,84,85,89,116
09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,28237,3337,2876,2727,2137,1994,1836,2061,2074,1893,1987,2252,3063
,男　Ｍ．,17005,2058,1706,1624,1269,1156,1108,1220,1280,1141,1187,1348,1908
,女　Ｆ．,11232,1279,1170,1103,868,838,728,841,794,752,800,904,1155
09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,39357,4725,3914,3903,2853,2709,2380,3058,2976,2467,2656,3125,4591
,男　Ｍ．,24457,2920,2434,2368,1735,1684,1502,1926,1867,1547,1643,1920,2911
,女　Ｆ．,14900,1805,1480,1535,1118,1025,878,1132,1109,920,1013,1205,1680
09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,総数,11522,1167,1033,1050,897,978,875,931,876,796,873,872,1174
,男　Ｍ．,3811,419,283,370,288,326,269,297,294,240,303,289,433
,女　Ｆ．,7711,748,750,680,609,652,606,634,582,556,570,583,741
09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3297,317,241,326,267,269,257,267,272,236,250,288,307
,男　Ｍ．,1814,194,134,188,141,151,135,131,146,128,126,168,172
,女　Ｆ．,1483,123,107,138,126,118,122,136,126,108,124,120,135
09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,総数,35964,3992,3365,3455,2749,2608,2410,2626,2728,2362,2618,2940,4111
,男　Ｍ．,18278,2082,1740,1745,1383,1274,1177,1350,1393,1182,1319,1481,2152
,女　Ｆ．,17686,1910,1625,1710,1366,1334,1233,1276,1335,1180,1299,1459,1959
09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,98814,9962,8953,9324,8089,7678,7046,7693,7575,7192,7441,7962,9899
,男　Ｍ．,41297,4239,3762,3977,3336,3152,2911,3166,3132,2922,3030,3351,4319
,女　Ｆ．,57517,5723,5191,5347,4753,4526,4135,4527,4443,4270,4411,4611,5580
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,7304,793,661,694,598,512,529,570,525,500,527,587,808
,男　Ｍ．,4096,434,372,400,339,290,290,318,289,289,282,317,476
,女　Ｆ．,3208,359,289,294,259,222,239,252,236,211,245,270,332
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,102821,10258,9060,9515,8114,8095,7507,7873,8066,7719,8098,8529,9987
,男　Ｍ．,51176,5203,4513,4744,4003,3936,3701,3930,4062,3832,3994,4228,5030
,女　Ｆ．,51645,5055,4547,4771,4111,4159,3806,3943,4004,3887,4104,4301,4957
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11070,1134,907,998,834,841,821,856,862,825,923,984,1085
,男　Ｍ．,4129,433,329,367,331,311,301,319,318,301,337,379,403
,女　Ｆ．,6941,701,578,631,503,530,520,537,544,524,586,605,682
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,32566,3364,2921,3088,2548,2515,2298,2340,2502,2371,2559,2759,3301
,男　Ｍ．,17981,1871,1633,1715,1367,1318,1264,1317,1400,1298,1411,1530,1857
,女　Ｆ．,14585,1493,1288,1373,1181,1197,1034,1023,1102,1073,1148,1229,1444
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,56129,5445,4946,5137,4503,4522,4178,4447,4450,4306,4374,4553,5268
,男　Ｍ．,27541,2737,2402,2505,2191,2196,2036,2178,2230,2119,2131,2212,2604
,女　Ｆ．,28588,2708,2544,2632,2312,2326,2142,2269,2220,2187,2243,2341,2664
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3056,315,286,292,229,217,210,230,252,217,242,233,333
,男　Ｍ．,1525,162,149,157,114,111,100,116,114,114,115,107,166
,女　Ｆ．,1531,153,137,135,115,106,110,114,138,103,127,126,167
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,20427,2158,1844,1931,1610,1592,1326,1294,1384,1362,1773,2025,2128
