平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,25914,2386,2104,2162,1979,2069,1914,2029,2052,2111,2265,2410,2433
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,294,34,34,27,22,21,24,24,13,12,25,32,26
,男　Ｍ．,166,20,25,14,9,6,12,14,6,11,10,22,17
,女　Ｆ．,128,14,9,13,13,15,12,10,7,1,15,10,9
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,2512,245,176,191,200,244,196,222,193,182,197,230,236
,男　Ｍ．,1457,148,96,120,118,142,105,123,112,102,115,141,135
,女　Ｆ．,1055,97,80,71,82,102,91,99,81,80,82,89,101
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,10815,1021,876,952,810,831,781,842,869,824,954,1044,1011
,男　Ｍ．,5395,521,436,489,397,405,371,401,446,389,481,532,527
,女　Ｆ．,5420,500,440,463,413,426,410,441,423,435,473,512,484
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,19095,1707,1514,1622,1479,1519,1430,1489,1479,1531,1693,1763,1869
,男　Ｍ．,6658,625,524,573,524,527,498,518,515,518,593,608,635
,女　Ｆ．,12437,1082,990,1049,955,992,932,971,964,1013,1100,1155,1234
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,15533,1514,1370,1284,1223,1223,1108,1165,1212,1265,1383,1396,1390
,男　Ｍ．,8659,821,785,718,707,689,639,657,635,683,788,752,785
,女　Ｆ．,6874,693,585,566,516,534,469,508,577,582,595,644,605
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9,1,-,-,-,1,1,2,2,1,-,-,1
,男　Ｍ．,1,-,-,-,-,1,-,-,-,-,-,-,-
,女　Ｆ．,8,1,-,-,-,-,1,2,2,1,-,-,1
08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,15,2,2,2,3,-,2,-,1,3,-,-,-
,男　Ｍ．,8,1,2,-,2,-,2,-,1,-,-,-,-
,女　Ｆ．,7,1,-,2,1,-,-,-,-,3,-,-,-
09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,352525,39534,34589,32249,28237,26812,24152,26112,25466,24819,27729,29413,33413
,男　Ｍ．,167535,19353,16738,15277,13350,12559,11241,12240,12036,11615,13181,13882,16063
,女　Ｆ．,184990,20181,17851,16972,14887,14253,12911,13872,13430,13204,14548,15531,17350
09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9581,1227,1058,887,733,706,602,712,641,647,695,768,905
,男　Ｍ．,3947,544,471,332,301,279,245,308,253,258,249,316,391
,女　Ｆ．,5634,683,587,555,432,427,357,404,388,389,446,452,514
09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,総数,5777,697,644,540,473,433,373,406,388,409,406,465,543
,男　Ｍ．,2327,294,282,193,190,159,146,170,150,173,146,187,237
